author_id;author_name;coauthors;publication_title;abstract;venue
5a33917406df07e704c7afd5;Barry Wilkinson;Mark A. Holliday,Barry Wilkinson,James Ruff;Using an end-to-end demonstration in an undergraduate grid computing course;;ACM Southeast Regional Conference
5a33917406df07e704c7afd5;Barry Wilkinson;Rahman Tashakkori,Barry L. Kurtz,Barry Wilkinson,Mark A. Holliday;A consortium to promote distributed computing;;ACM Southeast Regional Conference
5a33917406df07e704c7afd5;Barry Wilkinson;Oscar Ardaiz-Villanueva,Miguel L. Bote-Lorenzo,Amy W. Apon,Barry Wilkinson;Collaborative and learning applications of grid technology and grid education;;CCGRID
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson,Mark A. Holliday,Clayton Ferner;Experiences in teaching a geographically distributed undergraduate grid computing course;;CCGRID
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson,Tanusree Pai,Meghana Miraj;A Distributed Shared Memory Programming Course;;CCGRID
5a33917406df07e704c7afd5;Barry Wilkinson;Kenneth E. Hoganson,Barry Wilkinson,W. Homer Carlisle;Applications of Rhombic Multiprocssors;;PDPTA
5a33917406df07e704c7afd5;Barry Wilkinson;Mark A. Holliday,Barry Wilkinson,Jeffrey House,Samir Daoud,Clayton Ferner;A geographically-distributed, assignment-structured undergraduate grid computing course;;SIGCSE
5a33917406df07e704c7afd5;Barry Wilkinson;Jens Mache,Amy W. Apon,Thomas Feilhauer,Barry Wilkinson;Grid computing at the undergraduate level: can we do it?;;SIGCSE
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson,Clayton Ferner;Towards a top-down approach to teaching an undergraduate grid computing course;;SIGCSE
5a33917406df07e704c7afd5;Barry Wilkinson;Jeremy F. Villalobos,Barry Wilkinson;Latency hiding by redundant processing: a technique for grid-enabled, iterative, synchronous parallel programs;;Mardi Gras Conference
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson;Comparative Performance of Overlapping Connectivity Multiprocessor Interconnection Networks;;Comput. J.
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson,Clayton Ferner;Teaching Grid Computing in North Carolina: Part I;;IEEE Distributed Systems Online
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson,Clayton Ferner;Teaching Grid Computing in North Carolina: Part II;;IEEE Distributed Systems Online
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson;Cascaded Rhombic Crossbar Interconnection Networks;;J. Parallel Distrib. Comput.
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson;Overlapping Connectivity Interconnection Networks for Shared Memory Multiproceessor Systems;;J. Parallel Distrib. Comput.
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson;Comments on ``Design and Analysis of Arbitration Protocols';;IEEE Trans. Computers
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson;On Crossbar Switch and Multiple Bus Interconnection Networks with Overlapping Connectivity;;IEEE Trans. Computers
5a33917406df07e704c7afd5;Barry Wilkinson;Clayton Ferner,Barry Wilkinson;Pair-teaching a course on Grid computing from two campuses on NCREN;;FECS
5a33917406df07e704c7afd5;Barry Wilkinson;Jens Ma he,Amy Apon,Thomas Feilhauer,Barry Wilkinson;Grid computing at the undergraduate level: can we do it?;;ACM SIGCSE Bulletin
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson,Michael Allen;Parallel programming: techniques and applications using networked workstations and parallel computers;;null
5a33917406df07e704c7afd5;Barry Wilkinson;Abdulkarim Ayyad,Barry Wilkinson;Multiprocessor scheme with application to marco-dataflow;;Microprocessors Microsystems
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson;Digital system design;;null
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson;Digital system design;;null
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson,Michael Allen;Parallel Programming: Techniques and Applications Using Networked Workstations and Parallel Computers (2nd Edition);;null
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson;Comments on 'Design and Analysis of Arbitration Protocols' by F. El Guibaly;;IEEE Transactions on Computers
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson;Overlapping connectivity interconnection networks for shared memory multiprocessor systems;;Journal of Parallel and Distributed Computing
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson;Computer architecture (2nd ed.): design and performance;;null
5a33917406df07e704c7afd5;Barry Wilkinson;Barry Wilkinson;Digital System Design, 2nd Ed., 2nd edition;;null
67f20c00169348cc0bdcc6da;Robert Allen;David Cordes,Robert Allen;Running an NSF REU program: observations, comments and suggestions;;ACM Southeast Regional Conference
0b593c2203cd202f0a32f22c;Robert Allen;Robert Allen,Remi Douence,David Garlan;Specifying and Analyzing Dynamic Software Architectures;;FASE
0b593c2203cd202f0a32f22c;Robert Allen;Robert J. Allen,David Garlan;Formalizing Architectural Connection;;ICSE
0b593c2203cd202f0a32f22c;Robert Allen;David Garlan,Robert Allen,John Ockerbloom;Architectural Mismatch or Why It's Hard to Build Systems Out Of Existing Parts;;ICSE
0b593c2203cd202f0a32f22c;Robert Allen;Robert J. Allen,David Garlan;Beyond Definition/Use: Architectural Interconnection;;Workshop on Interface Definition Languages
0b593c2203cd202f0a32f22c;Robert Allen;Gregory D. Abowd,Robert Allen,David Garlan;Using Style to Understand Descriptions of Software Architecture;;SIGSOFT FSE
0b593c2203cd202f0a32f22c;Robert Allen;Robert Allen,David Garlan;Formal Modeling and Analysis of the HLA Component Integration Standard;;SIGSOFT FSE
0b593c2203cd202f0a32f22c;Robert Allen;David Garlan,Robert Allen,John Ockerbloom;Exploiting Style in Architectural Design Environments;;SIGSOFT FSE
ccfb3adafe4406773e54560d;Robert Allen;Robert Allen,Steve Vestal,Dennis Cornhill,Bruce Lewis;Using an architecture description language for quantitative analysis of real-time systems;;Workshop on Software and Performance
cad523274733d8883ecffcc3;Robert Allen;Robert Allen,David Smith;Neuro-fuzzy closed-loop control of depth of anaesthesia;;Artificial Intelligence in Medicine
0b593c2203cd202f0a32f22c;Robert Allen;Robert Allen;The Web: Interactive and Multimedia Education;;Computer Networks
8e2020d6d9c93a08da6853b9;Robert Allen;Paul England,Robert B. Allen,Ron Underwood;RAVE: Real-Time Services for the Web;;Computer Networks
a70fcd545a2b0a507b0d4422;Robert Allen;Luigi Cinque,Dean Yasuda,Linda G. Shapiro,Steven L. Tanimoto,Robert Allen;An improved algorithm for relational distance graph matching;;Pattern Recognition
0b593c2203cd202f0a32f22c;Robert Allen;David Garlan,Robert Allen,John Ockerbloom;Architectural Mismatch: Why Reuse Is So Hard;;IEEE Software
ff949b2ba36ec09158243673;Robert Allen;Yalin Zheng,Mark S. Nixon,Robert Allen;Automated segmentation of lumbar vertebrae in digital videofluoroscopic images;;IEEE Trans. Med. Imaging
0b593c2203cd202f0a32f22c;Robert Allen;Robert Allen,David Garlan;A Formal Basis for Architectural Connection;;ACM Trans. Softw. Eng. Methodol.
0b593c2203cd202f0a32f22c;Robert Allen;Robert Allen,David Garlan;Errata: A Formal Basis for Architectural Connection;;ACM Trans. Softw. Eng. Methodol.
a70fcd545a2b0a507b0d4422;Robert Allen;Robert Allen,Luigi Cinque,Steven L. Tanimoto,Linda G. Shapiro,Dean Yasuda;A Parallel Algorithm for Graph Matching and Its MasPar Implementation;;IEEE Trans. Parallel Distrib. Syst.
8923645eb056229d994edf10;Robert Allen;Shing Chun Benny Lam,Brendan McCane,Robert Allen;Automated tracking in digitized videofluoroscopy sequences for spine kinematic analysis;;Image Vision Comput.
